quote_count,name,created,text,user_screen_name,hashtags,retweet_count,tweet_id,reply_count,_id,link_to_count,favorite_count
0,aakashshaw352@gmail,2018-12-15 06:14:38,"RT @saha_shammi: Has #BJP lost its core #agenda and #voters? 
https://t.co/Ebm7KkVylQ
.
.
#politics #follow #real #election #story #result…",aakashshaw12,"[{u'indices': [21, 25], u'text': u'BJP'}, {u'indices': [40, 47], u'text': u'agenda'}, {u'indices': [52, 59], u'text': u'voters'}, {u'indices': [90, 99], u'text': u'politics'}, {u'indices': [100, 107], u'text': u'follow'}, {u'indices': [108, 113], u'text': u'real'}, {u'indices': [114, 123], u'text': u'election'}, {u'indices': [124, 130], u'text': u'story'}, {u'indices': [131, 138], u'text': u'result'}]",0,1073823628850909184,0,5c149bd971cf94109341f26c,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0
0,Naxal Arnab,2018-12-15 06:14:39,"RT @KoomarShah: Lok Sabha Seat loses for BJP as of today

Rajasthan-12
MP-13
Chhatisgarh-10
Gujarat-12
Karnataka-13
Maharashtra-20

Total 8…",Bh0gi,[],0,1073823631317393408,0,5c149bd971cf94109341f26e,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Sushma Kiran INC,2018-12-15 06:14:39,RT @ashokgehlot51: मैं और मेरे साथी सचिन पायलट जी और तमाम जो हमारे मंत्रीमंडल के साथी बनेंगे हम सब मिलकर राहुल गांधी जी की भावना के अनुरूप…,kiran3_sushma,[],0,1073823631887630336,0,5c149bda71cf94109341f270,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,किसान पुत्र राजेश चौहान,2018-12-15 06:14:39,RT @KanchanGupta: Yogi had a 69% strike rate: 74 rallies in #AssemblyElections2018 with 51 wins for BJP. Strike rate would be higher if you…,rajeshanjuu,"[{u'indices': [60, 82], u'text': u'AssemblyElections2018'}]",0,1073823633103966208,0,5c149bda71cf94109341f272,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Rakesh.singh,2018-12-15 06:14:40,RT @PramukhSunil: डबल डेकर राजस्थान एक्सप्रेस  ?? https://t.co/K9htaD9BZJ,Rakeshs88394140,[],0,1073823638493773824,0,5c149bdb71cf94109341f274,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",0
0,Krishnakumar Raman 🇮🇳,2018-12-15 06:14:41,RT @mjakbar: Someone asked a good question. If experience is essential in Rajasthan and MP why is it not necessary for Congress President j…,Krishna_720611,[],0,1073823641995890688,0,5c149bdc71cf94109341f276,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,Vallabh Rai,2018-12-15 06:14:42,RT @MinhazMerchant: So @RahulGandhi reportedly picks Ashok Gehlot over @SachinPilot as CM of Rajasthan. Sonia said to have favoured the wil…,RaiVallabh,[],0,1073823646492254209,0,5c149bdd71cf94109341f278,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",0
0,Sunidhi Thapa,2018-12-15 06:14:42,"Gehlot to be Rajasthan CM, Pilot Deputy CM; Kamal Nath to take oath as MP CM on Monday https://t.co/5Scp8D2Dtm",sunidhithapa1,[],0,1073823647322787841,0,5c149bdd71cf94109341f27a,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0
0,Dr.R.Tripathi.BJP🙏🚩🌷,2018-12-15 06:14:43,"RT @KeshavKarn11: नतीजों से एक दिन पहले राजस्थान,MP और छग में कांग्रेस को चौंका सकती है Google की रियल टाइम रिपोर्ट…यह ट्रेंड कोई एग्जिट पो…",RakeshT73827202,[],0,1073823648237010944,0,5c149bdd71cf94109341f27c,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,अगस्त्य,2018-12-15 06:17:06,RT @mjakbar: Someone asked a good question. If experience is essential in Rajasthan and MP why is it not necessary for Congress President j…,deepeed1,[],0,1073824251520667648,0,5c149c6d71cf94109341f27e,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
